src_ip,src_port,dst_ip,dst_port,protocol,packets,bytes,tx_bytes,rx_bytes,first_seen,last_seen,duration_s
192.124.249.13,443,10.0.2.15,51094,6,26,8961,6123,2838,1779187925,1779187925,0
106.51.42.35,443,10.0.2.15,49536,6,26,7309,4522,2787,1779187926,1779187926,0
192.124.249.23,80,10.0.2.15,38072,6,17,7284,5920,1364,1779187925,1779187948,23
49.205.72.130,53,10.0.2.15,56771,17,4,588,426,162,1779187926,1779187926,0
192.124.249.23,80,10.0.2.15,38060,6,11,3796,3023,773,1779187925,1779187946,21
10.0.2.15,41240,142.251.222.131,80,6,7,416,236,180,1779187926,1779187932,6
151.101.157.91,443,10.0.2.15,42270,6,4,300,153,147,1779187941,1779187941,0
10.0.2.15,42282,151.101.157.91,443,6,14,3730,2473,1257,1779187917,1779187931,14
142.251.222.131,80,10.0.2.15,41234,6,11,1978,1206,772,1779187926,1779187946,20
10.0.2.15,42228,192.124.249.13,443,17,194,218074,113872,104202,1779187925,1779187930,5
49.205.72.130,53,10.0.2.15,49628,17,2,217,137,80,1779187928,1779187928,0
10.0.2.15,41208,142.251.222.131,80,6,7,416,236,180,1779187926,1779187931,5
49.205.72.130,53,10.0.2.15,36319,17,2,217,137,80,1779187926,1779187926,0
142.251.221.202,443,10.0.2.15,49612,6,27,8629,5789,2840,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,45036,17,2,318,234,84,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,57550,17,2,191,121,70,1779187926,1779187926,0
106.51.42.35,443,10.0.2.15,49528,6,50,37127,33405,3722,1779187926,1779187926,0
10.0.2.15,49640,142.251.221.202,443,6,16,5697,3222,2475,1779187928,1779187928,0
142.251.221.202,443,10.0.2.15,34999,17,24,13943,7955,5988,1779187926,1779187926,0
192.124.249.23,80,10.0.2.15,38084,6,13,3904,3077,827,1779187925,1779187946,21
49.205.72.130,53,10.0.2.15,42753,17,4,388,232,156,1779187927,1779187927,0
142.251.221.202,443,10.0.2.15,49610,6,34,10945,7617,3328,1779187926,1779187926,0
23.58.46.175,443,10.0.2.15,35594,6,24,8092,5076,3016,1779187926,1779187926,0
142.251.221.202,443,10.0.2.15,49624,6,29,8733,5839,2894,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,57371,17,4,364,204,160,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,51333,17,2,223,146,77,1779187927,1779187927,0
23.58.46.175,443,10.0.2.15,35608,6,22,7016,4280,2736,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,45045,17,4,388,232,156,1779187924,1779187925,1
49.205.72.130,53,10.0.2.15,34226,17,2,216,138,78,1779187927,1779187927,0
23.58.46.175,443,10.0.2.15,35604,6,20,6909,4227,2682,1779187926,1779187926,0
142.251.222.131,80,10.0.2.15,41230,6,15,3540,2232,1308,1779187926,1779187946,20
142.251.43.195,443,10.0.2.15,35796,17,16,12088,6566,5522,1779187927,1779187928,1
49.205.72.130,53,10.0.2.15,33707,17,4,364,204,160,1779187928,1779187928,0
192.124.249.13,443,10.0.2.15,51096,6,26,8967,6129,2838,1779187925,1779187925,0
142.251.222.131,80,10.0.2.15,41216,6,11,1978,1206,772,1779187926,1779187946,20
49.205.72.130,53,10.0.2.15,52878,17,2,285,203,82,1779187925,1779187925,0
49.205.72.130,53,10.0.2.15,54716,17,2,311,230,81,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,51099,17,2,216,138,78,1779187924,1779187925,1
49.205.72.130,53,10.0.2.15,41115,17,4,586,418,168,1779187926,1779187926,0
49.205.72.130,53,10.0.2.15,55496,17,4,352,198,154,1779187927,1779187927,0
142.251.221.202,443,10.0.2.15,49632,6,25,8519,5733,2786,1779187926,1779187927,1
192.124.249.23,80,10.0.2.15,38088,6,13,3904,3077,827,1779187925,1779187946,21
192.124.249.13,443,10.0.2.15,51088,6,26,8945,6107,2838,1779187925,1779187925,0
23.58.46.175,443,10.0.2.15,35618,6,23,8071,5151,2920,1779187926,1779187926,0
192.124.249.13,443,10.0.2.15,51108,6,33,9473,6420,3053,1779187927,1779187932,5
192.124.249.13,443,10.0.2.15,51074,6,215,166640,153755,12885,1779187925,1779187929,4
151.101.157.91,443,10.0.2.15,42272,6,4,300,153,147,1779187941,1779187941,0
